"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\client\src\app\item-list\itemListHeaderUI.tsx", "TypeScript JSX", 13, 0, 2, 15
"c:\Users\conta\Desktop\project\client\src\app\item-list\uploaded\page.tsx", "TypeScript JSX", 21, 0, 3, 24
"Total", "-", 34, 0, 5, 39
