"filename", "language", "HTML", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "PostCSS", "XML", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\com-free\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -79, 0, 0, -15, -94
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\com-free\upload\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -7, -38
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\com-free\upload\client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -277, 0, 0, -51, -328
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\company-name\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, -10, -54
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\company-name\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -72, 0, 0, -17, -89
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\option\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, -10, -54
"c:\Users\conta\Desktop\project\client\src\app\edit\shop\option\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -106, 0, 0, -15, -121
"c:\Users\conta\Desktop\project\client\src\app\edit\type.ts", "TypeScript", 0, 0, 0, 0, -103, 0, 0, 0, 0, 0, -10, -113
"c:\Users\conta\Desktop\project\client\src\app\guide\account\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -115, 0, 0, -21, -136
"c:\Users\conta\Desktop\project\client\src\app\guide\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\conta\Desktop\project\client\src\app\guide\account\sign\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -11, -70
"c:\Users\conta\Desktop\project\client\src\app\guide\account\sign\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\conta\Desktop\project\client\src\app\guide\buyer\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -174, 0, 0, -39, -213
"c:\Users\conta\Desktop\project\client\src\app\guide\buyer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\conta\Desktop\project\client\src\app\guide\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, -5, -36
"c:\Users\conta\Desktop\project\client\src\app\guide\penalty\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -187, 0, 0, -18, -205
"c:\Users\conta\Desktop\project\client\src\app\guide\penalty\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\conta\Desktop\project\client\src\app\guide\seller\client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, -5, -44
"c:\Users\conta\Desktop\project\client\src\app\guide\seller\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -287, 0, 0, -63, -350
"c:\Users\conta\Desktop\project\client\src\app\guide\seller\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\conta\Desktop\project\client\src\app\guide\shop\content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -136, 0, 0, -22, -158
"c:\Users\conta\Desktop\project\client\src\app\guide\shop\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\conta\Desktop\project\client\src\app\inquiry\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -109, 0, 0, -21, -130
"c:\Users\conta\Desktop\project\client\src\app\inquiry\inquiry.module.css", "PostCSS", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, -1, -20
"c:\Users\conta\Desktop\project\client\src\app\inquiry\inquiryUI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, -4, -24
"c:\Users\conta\Desktop\project\client\src\app\inquiry\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\conta\Desktop\project\client\src\app\inquiry\linkElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, -3, -29
"c:\Users\conta\Desktop\project\client\src\app\inquiry\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, -6, -47
"c:\Users\conta\Desktop\project\client\src\app\inquiry\type.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"c:\Users\conta\Desktop\project\client\src\app\item-list\cart.module.css", "PostCSS", 0, 0, 0, 0, 0, -55, 0, 0, 0, 0, -4, -59
"c:\Users\conta\Desktop\project\client\src\app\item-list\cartElement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -109, 0, -2, -22, -133
"c:\Users\conta\Desktop\project\client\src\app\item-list\cart\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -38, 0, 0, -7, -45
"c:\Users\conta\Desktop\project\client\src\app\item-list\deleted\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"c:\Users\conta\Desktop\project\client\src\app\item-list\draft\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"c:\Users\conta\Desktop\project\client\src\app\item-list\good\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"c:\Users\conta\Desktop\project\client\src\app\item-list\header.module.css", "PostCSS", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -3, -31
"c:\Users\conta\Desktop\project\client\src\app\item-list\itemList.module.css", "PostCSS", 0, 0, 0, 0, 0, -314, 0, 0, 0, 0, -47, -361
"c:\Users\conta\Desktop\project\client\src\app\item-list\itemList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -292, 0, -2, -25, -319
"c:\Users\conta\Desktop\project\client\src\app\item-list\itemListHeaderUI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"c:\Users\conta\Desktop\project\client\src\app\item-list\itemListUI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"c:\Users\conta\Desktop\project\client\src\app\item-list\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\conta\Desktop\project\client\src\app\item-list\removeFloat.module.css", "PostCSS", 0, 0, 0, 0, 0, -69, 0, 0, 0, 0, -10, -79
"c:\Users\conta\Desktop\project\client\src\app\item-list\removeFloat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -117, 0, -1, -26, -144
"c:\Users\conta\Desktop\project\client\src\app\item-list\stock\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"c:\Users\conta\Desktop\project\client\src\app\item-list\tabHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, -7, -64
"c:\Users\conta\Desktop\project\client\src\app\item-list\type.ts", "TypeScript", 0, 0, 0, 0, -25, 0, 0, 0, 0, 0, -3, -28
"c:\Users\conta\Desktop\project\client\src\app\item-list\uploaded\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, -7, -47
"c:\Users\conta\Desktop\project\client\src\app\item-list\watch-history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -4, -31
"c:\Users\conta\Desktop\project\client\src\app\item\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, -14, -92
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\comment.module.css", "PostCSS", 0, 0, 0, 0, 0, -313, 0, 0, 0, 0, -38, -351
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\commentDataDiv.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -3, -19
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\commentForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -102, 0, -1, -21, -124
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\commentList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -71, 0, 0, -10, -81
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\commentSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, -10, -68
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\commentText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, -8, -65
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\deleteComment.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -66, 0, 0, -13, -79
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\good.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -90, 0, 0, -16, -106
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\pin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -1, -12
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\profileImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -2, -20
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\replyList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -69, 0, 0, -13, -82
"c:\Users\conta\Desktop\project\client\src\app\item\commentSection\reportFloat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, -5, -37
"c:\Users\conta\Desktop\project\client\src\app\item\confirm\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -14, -73
"c:\Users\conta\Desktop\project\client\src\app\item\confirm\confirm.module.css", "PostCSS", 0, 0, 0, 0, 0, -152, 0, 0, 0, 0, -13, -165
"c:\Users\conta\Desktop\project\client\src\app\item\confirm\title.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\conta\Desktop\project\client\src\app\item\confirm\uploadButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -130, 0, 0, -18, -148
"c:\Users\conta\Desktop\project\client\src\app\item\deleted\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -61, 0, 0, -14, -75
"c:\Users\conta\Desktop\project\client\src\app\item\deleted\deleted.module.css", "PostCSS", 0, 0, 0, 0, 0, -110, 0, 0, 0, 0, -9, -119
"c:\Users\conta\Desktop\project\client\src\app\item\deleted\perfectDelete.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -62, 0, 0, -12, -74
"c:\Users\conta\Desktop\project\client\src\app\item\deleted\restore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -73, 0, 0, -15, -88
"c:\Users\conta\Desktop\project\client\src\app\item\draft\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -59, 0, 0, -14, -73
"c:\Users\conta\Desktop\project\client\src\app\item\draft\draft.module.css", "PostCSS", 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, -19
"c:\Users\conta\Desktop\project\client\src\app\item\draft\editButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -2, -10
"c:\Users\conta\Desktop\project\client\src\app\item\itemCommon.module.css", "PostCSS", 0, 0, 0, 0, 0, -96, 0, 0, 0, 0, -10, -106
