"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\src\app.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\conta\Desktop\project\server\src\routes\cart.ts", "TypeScript", -3, 0, 0, -3
"c:\Users\conta\Desktop\project\server\src\routes\item-list\cart_list.ts", "TypeScript", 81, 0, 12, 93
"c:\Users\conta\Desktop\project\server\src\routes\item-list\good_list.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\conta\Desktop\project\server\src\routes\item-list\watch_list.ts", "TypeScript", 1, 0, 0, 1
"Total", "-", 82, 0, 12, 94
