"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\src\routes\order-list\purchased.ts", "TypeScript", -12, 0, 4, -8
"c:\Users\conta\Desktop\project\server\src\routes\order-list\sold.ts", "TypeScript", -12, 0, 4, -8
"Total", "-", -24, 0, 8, -16
