"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\src\routes\item-list\cart_list.ts", "TypeScript", 48, 0, 7, 55
"Total", "-", 48, 0, 7, 55
