"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\src\cron\dataDelete.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\conta\Desktop\project\server\src\cron\trustScore.ts", "TypeScript", 6, 0, 0, 6
"c:\Users\conta\Desktop\project\server\src\routes\test.ts", "TypeScript", 165, -1, 23, 187
"Total", "-", 173, -1, 23, 195
