"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\server\src\routes\order-list\purchased.ts", "TypeScript", 60, 0, 8, 68
"c:\Users\conta\Desktop\project\server\src\routes\order-list\sold.ts", "TypeScript", 57, 0, 8, 65
"Total", "-", 117, 0, 16, 133
