"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\client\src\app\order\header.module.css", "PostCSS", 0, 28, 0, 3, 31
"c:\Users\conta\Desktop\project\client\src\app\order\order.module.css", "PostCSS", 0, 74, 0, 10, 84
"c:\Users\conta\Desktop\project\client\src\app\order\orderList.tsx", "TypeScript JSX", 15, 0, 0, 2, 17
"c:\Users\conta\Desktop\project\client\src\app\order\tabHeader.tsx", "TypeScript JSX", 77, 0, 0, 8, 85
"Total", "-", 92, 102, 0, 23, 217
