"filename", "language", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\conta\Desktop\project\client\src\app\item-list\tabHeader.tsx", "TypeScript JSX", -1, 0, 0, 0, -1
"c:\Users\conta\Desktop\project\client\src\app\item-list\transaction-list\transaction.module.css", "PostCSS", 0, 0, 0, -1, -1
"c:\Users\conta\Desktop\project\client\src\app\item-list\transaction-list\transactionList.tsx", "TypeScript JSX", -5, 0, 0, -2, -7
"c:\Users\conta\Desktop\project\client\src\app\item-list\uploaded\page.tsx", "TypeScript JSX", -1, 0, 0, 0, -1
"c:\Users\conta\Desktop\project\client\src\app\order-list\order.module.css", "PostCSS", 0, 0, 0, 1, 1
"c:\Users\conta\Desktop\project\client\src\app\order-list\orderList.tsx", "TypeScript JSX", 14, 0, 1, 6, 21
"Total", "-", 7, 0, 1, 4, 12
